TIC,our_period,our_classification,score,discovery_category,confidence_95_lower,confidence_95_upper,fetherolf_period,fetherolf_period_error,fetherolf_type,match_type,fractional_diff,within_ci,harmonic_ratio
160490168,0.0386255814312868,ULTRA_SHORT,55,cross_listed,0.0386288263175952,0.0386294444529925,0.03863,2.2e-05,Unknown,direct,0.00011439487897576532,False,
320783715,0.408346840923889,SHORT,45,published,0.410098941725956,0.410236967958657,0.410183,0.00253,Unknown,direct,0.004496567359151551,True,
393980012,0.0652423585915272,ULTRA_SHORT,55,published,0.0652415756769608,0.065242619567225,0.065242,6.6e-05,Unknown,direct,5.496299259399295e-06,True,
102848002,0.0538696954675747,ULTRA_SHORT,53,cross_listed,0.0538627901206339,0.0538660325041052,0.053864,4.2e-05,Unknown,direct,0.00010572674534849387,True,
469981019,0.365050387030816,SHORT,37,cross_listed,0.364935065243764,0.365025564795966,0.364985,0.00186,Unknown,direct,0.00017911782356354287,True,
309658221,0.100498572634796,SHORT,33,cross_listed,0.100503376793894,0.100511840463093,0.100588,0.000188,Unknown,direct,0.0008898371674289063,False,
298649058,0.381079432840372,SHORT,38,cross_listed,0.380744295015215,0.380850993851555,0.38107,0.00232,Unknown,direct,2.475295059001881e-05,False,
70788050,0.343385080368182,SHORT,43,cross_listed,0.342907537829338,0.343002419237931,0.342961,0.00165,Unknown,direct,0.0012349993998786253,True,
271698144,0.419449572075852,SHORT,41,published,0.418638819982051,0.418823083983742,0.419022,0.0032,Unknown,direct,0.0010193646729353624,False,
198383073,0.0722586800034691,ULTRA_SHORT,53,cross_listed,0.0722595471353774,0.0722647503639069,0.07226,7.9e-05,Unknown,direct,1.826765353083837e-05,True,
459189807,0.100112148035407,SHORT,35,cross_listed,0.100059715695735,0.100070958011675,0.100081,0.00014,Unknown,direct,0.00031113142628779963,False,
259931869,0.0358963679970128,ULTRA_SHORT,53,cross_listed,0.0358956500696529,0.0358967987672134,0.035896,1.8e-05,Unknown,direct,1.0251650329371743e-05,True,
445067946,0.204090797746387,SHORT,39,published,0.20421414555726,0.204222319550614,0.204218,0.000597,Unknown,direct,0.0006232630526099468,True,
316667338,0.0830315915357273,ULTRA_SHORT,54,cross_listed,0.083040211283379,0.0830478692436533,0.083045,0.000101,Unknown,direct,0.00016148629725984095,True,
239661117,0.191694148324258,SHORT,38,published,0.191753938401114,0.191767827000027,0.19176,0.000561,Unknown,direct,0.00034352470494108624,True,
